MERIZ_CODE	SEX	INTOC	PRONO_l	PRONO_w	ELYT	STER	FEMU	LOC	EXP	Dim1	Dim2	Dim3	Dim4	Dim5	Q	Pgi	Pyru	D	S	NBpoint	PathLength	S2	TE	TS	DC	SDDC	muL	scale
ISB_ANPA_091	F	0.808	1.001	1.525	3.464	0.455	1.512	ISB	A	0.692871372	-0.837538883	-1.5920436488	-0.796607207	-0.655804972	186.21897810219	86.6454689984102	0.551325090750293	1.04154127552109	2.41446270946273	455	22.3473560597061	1.92402889569864	10.4746079293581	0.415688462919885	401.525005948021	511.196229691349	0.0492232512328328	5
ISB_ANPA_092	F	0.839	1.143	1.572	3.566	0.603	1.477	ISB	A	2.355382360	1.065460028	-0.1374631812	-0.415454483	0.250042766	204.905109489051	89.369851134557	0.580583531209913	1.07187009715949	2.57364214056451	390	19.0496352683254	2.01098476091866	9.59707955599364	0.560853421725678	413.71586024987	558.612189078069	0.0489707847514792	5
ISB_ANPA_093	M	0.743	1.071	1.473	3.295	0.555	1.437	ISB	A	-0.431230019	0.707748971	-0.2120684470	0.291065133	-0.257790950	215.766423357664	91.1672431	0.905046535112858	1.01995061319961	1.55974710424445	158	7.78028347745479	1.23984633144725	25.7536691192051	0.846542049329337	199.568345868007	371.69978709786	0.0495559457162725	5
ISB_ANPA_094	F	0.795	1.022	1.493	3.343	0.572	1.38	ISB	A	-0.213879804	0.898031928	0.0003882788	-1.059477133	-0.090004422	128	34.1017488076312	0.966183574879227	1.04827423038619	3.43324172671652	351	16.8862570049734	2.69847175174015	5.18876581332072	0.626669944341951	576.234932276007	710.64103384668	0.0482464485856382	5
ISB_ANPA_095	F	0.831	0.971	1.579	3.525	0.468	1.451	ISB	A	0.914129587	-0.609042702	-1.4071362193	-1.888456576	-0.271308163	191.2516431	119.475357710652	0.946750730096346	1.03646717265465	2.14926061962887	360	17.6417344989584	1.77478564422261	12.419198654758	0.29157231073516	392.474265432872	425.511323180946	0.0491413217241182	5
ISB_ANPA_096	M	0.771	1.102	1.498	3.341	0.566	1.415	ISB	A	0.151591272	0.752897383	0.1536512163	-0.002602701	0.122032168	249.343065693431	62.6391096979332	1.31007942356505	1.01859609651581	1.80173427583281	461	22.6709131504195	1.46648570853799	18.3691419848048	0.803900402709737	312.121025035448	372.54037201046	0.0492845938052598	5
ISB_ANPA_097	M	0.683	0.978	1.325	3.212	0.519	1.311	ISB	A	-3.297463651	0.737283689	-0.4945464048	0.059563231	0.378867847	237.313868613139	180.842607313196	0.553726903026829	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ISB_ANPA_098	M	0.745	1	1.42	3.154	0.496	1.423	ISB	A	-1.585486063	-0.156363052	-0.3367053211	-0.078481445	-0.793845815	174.890510948905	262.639109697933	1.0797237915882	1.04972011139496	2.93838289493837	325	15.8154329302148	2.3420671720753	6.96717016496805	0.789074661343204	513.793006486998	608.624078159917	0.0488130645994283	5
ISB_ANPA_099	M	0.774	1.055	1.429	3.194	0.416	1.394	ISB	A	-1.225005309	-1.455641010	-0.1313182242	-0.184379062	-0.003179023	94.1313868613139	20.0317965023847	0.94806080951991	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ISB_ANPA_100	F	0.793	1.083	1.464	3.309	0.463	1.392	ISB	A	-0.353021871	-0.793393671	-0.0429257208	-0.368246616	0.343994467	269.722627737226	82.5914149443561	1.04806353885204	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ISB_ANPA_101	M	0.769	1.095	1.525	3.396	0.505	1.388	ISB	A	0.083710395	-0.035069850	-0.1416438188	-0.361925409	0.608678822	181.197080291971	76.6295707472178	1.15920194328448	1.0123069695652	1.49190129271251	537	26.497708401138	1.24441705686907	25.6245306901862	0.853345776829913	273.818559407103	295.063610285045	0.0494360231364516	5
ISB_ANPA_102	M	0.75	1.147	1.422	3.299	0.592	1.383	ISB	A	-0.475625386	1.190382598	0.6033165435	0.721047558	0.561286264	194.627737226277	51.1128775834657	0.744343459155545	1.18833782210788	4.40054525168029	334	15.8927592477489	3.41159336660111	3.0959018699556	0.35579455422002	767.771453244529	878.518188453948	0.0477260037469937	5
ISB_ANPA_103	F	0.778	1.005	1.469	3.375	0.557	1.473	ISB	A	-0.074317660	0.739962744	-0.9043483042	-0.389141485	-0.729974611	132.729927007299	NA	1.09522639810038	1.01275724485418	1.43651370636911	613	30.3465871212728	1.18136327014107	28.3999957348985	0.0635159511394685	252.221016985218	295.546145625661	0.0495859266687464	5
ISB_ANPA_104	F	0.864	1.18	1.602	3.673	0.632	1.55	ISB	A	3.649512300	1.342691157	-0.4095891884	-0.115438614	0.047877683	293.722627737226	57.5516693163752	1.267065149158	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PELIS_ANPA_031	M	0.98	1.098	1.44	3.144	0.52	1.432	PELIS	A	1.437035272	-1.045518825	1.6265501487	-1.636911034	-0.981872100	109.430656934307	74.6422893481717	0.541062801932367	1.06421522863359	2.80333633348172	460	22.2382253797143	2.2462026211207	7.6794076587723	0.392992224817662	489.203853783243	567.260698168261	0.048449292766262	5
PELIS_ANPA_032	M	0.748	1.212	1.359	3.299	0.633	1.538	PELIS	A	0.393724695	1.572819652	0.1990250145	2.461243946	-0.366252416	48.3503649635036	17.0906200317965	0.597832910286853	1.07780462666703	3.1230773909904	534	25.8097700243161	2.43865220850427	6.44209353404679	0.127596848699906	531.405510811313	644.047584498325	0.0484235835353022	5
